Index,Question Text,Answer,Difficulty,Prompts
0,"In this novel, a Harvard graduate is said to know “everything there was to know about literature, except how to enjoy it.” The C.I.D. investigates censored letters signed with the forged signature “Washington Irving” in this novel. A character in this novel sells Egyptian cotton dipped in chocolate as head of (*) M&M Enterprises. An IBM machine in this novel promotes a man, resulting in his name becoming Major Major Major Major. For 10 points, name this Joseph Heller novel in which Yossarian’s attempts to avoid flying missions are prevented by the title paradoxical rule.",Catch-22;Catch 22;Catch22,2,
1,"A pool boy in this movie is revealed to be gay when he clocks the main character’s shoes as being last season Prada. The main character of this movie says ""Whoever said orange was the new pink was seriously disturbed"" after introducing her Chihuahua, Bruiser. That main character helps the hairdresser Pauline get her dog back and teaches her the (*) “bend and snap.” This film’s protagonist clashes with Vivienne, the new girlfriend of her ex-boyfriend Warner, and it culminates with the trial of Brooke Wyndham. For 10 points, name this movie starring Reese Witherspoon as CULA sorority president Elle Woods, who goes to Harvard Law School.",Legally Blonde,2,
2,"This location came into being with the help of research conducted by Harvard professor Gerald Lesser and the “CTW model.” An episode poignantly discussed the death of this location’s resident storekeeper Mr. Hooper, and a character from this location warns against finishing the “terrifying” book (*) The Monster at the End of This Book. To encourage children to report sexual abuse, this location’s resident Mr. Snuffleupagus was proven as real. Shows set in this location are sponsored by numbers and letters of the alphabet. For 10 points, name this fictional location, the residence of Grover, Oscar the Grouch, and Big Bird.",Sesame Street,3,
3,"The second narrator of this novel breaks the glass on his father’s watch against the corner of his dresser, but the watch keeps ticking. In addition to time, that character is haunted by streetlamps and Dalton Ames, and he gives Deacon a note to deliver to his roommate at Harvard after he commits suicide. The first narrator of this novel has (*) no sense of time and appreciates that “Caddy smelled like trees”. The third narrator of this novel regrets giving the motherly servant Dilsey permission to go to Easter service. For 10 points, Quentin’s, Benjy’s and Jason’s lives are all affected by Caddy’s promiscuity in what novel by William Faulkner?",The Sound and the Fury; Sound and the Fury,2,
4,"Ben Mezrich alleged that this man ate koala meat on the yacht of a Sun Microsystems executive. After being dumped by a girl from BU who says she likes men who row crew, this man drunkenly uses Livejournal while incorporating his friend's chess-ranking algorithm into a website that allowed users to rank the attractiveness of girls on his campus. While being deposed, he attacked the (*) “Match.com for Harvard guys” that he was hired to develop. He is told to “Drop the 'the'” by Sean Parker, who assists this man in removing Eduardo Saverin from their company's board, and he was sued by the Winkelvoss twins. For 10 points, name this man portrayed by Jesse Eisenberg in The Social Network, who created Facebook.",Mark Zuckerberg; Zuckerberg,2,Zuck
5,"A book of this name, which contains the chapter “Arguing Affirmative Action” before summarizing Aristotle, adapts a lecture taught by Michael Sandel at Harvard. This quality is undesirable according to Thrasymachus’s second objection. The theoretical “veil of ignorance” is key to A Theory of [THIS] by John Rawls, who defines it as fairness. The ideal city is an analogy for this trait in Plato’s Republic, in which Socrates seeks to define it. For 10 points, name this virtue symbolized by a blind “lady” holding a scale, often equated with people getting what they deserve.",Justice,2,
6,"In the movie EuroTrip, a character played by this actor sings the song “Scotty Doesn’t Know.” This actor has received Emmy nominations for co-producing the series Project Greenlight, and has earned Oscar nominations for producing Manchester by the Sea and playing Francois Pienaar in Invictus. This man is often kicked off of (*) Jimmy Kimmel Live!, usually due to lack of time, but later retaliated with a takeover of the show. This Bostonian actor won an Oscar at only 27 years old, for co-writing the screenplay to the film Good Will Hunting with his longtime friend, Ben Affleck. For 10 points, name this actor most famous for playing Jason Bourne.",Damon;Matt Damon,1,
7,"This poet created a “hermit heiress... in her dotage” who “buys up all the eyesores facing her shore.” A poem dedicated to this man describes “illegal fire balloons” that leave an armadillo “clenched ignorant against the sky.” This poet wrote, “I myself am hell” in a work for his friend Elizabeth Bishop. This poet wrote, “a savage servility slides on by grease” in a poem about a (*) monument to Robert Gould Shaw that “sticks like a fishbone / in the city’s throat” where the Old South Boston Aquarium used to be. For 10 points, name this confessional poet of “Skunk Hour” and “For the Union Dead.”",Robert Lowell,3,Lowell
8,"A Sub-Sub Librarian and a Late Consumptive Usher supply an Etymology and a series of Extracts which preface this work. One character in it declares that a ship was his “Yale College” and his “Harvard.” Another character in this work discovers he can no longer enjoy a pipe and casts it overboard. While other characters in this novel include the harpooners Daggoo, Tashtego, and the cannibal, Queequeg, and the first mate, Starbuck. For 10 points, name this novel, which begins “Call Me Ishmael,” and was written by Herman Melville.",Mobydick;Moby Dick;Moby-Dick,3,
9,"This author of ""The Rhodora"" and the Harvard address ""The American Scholar"" wrote that ""a foolish consistency is the hobgoblin of little minds"" in one essay. This man rented his pond to Henry David Thoreau, a fellow (*) Transcendentalist. For 10 points, name this American author of essays like ""The Over-Soul"" and ""Nature.""",Ralph Waldo Emerson;Ralph Emerson;Emerson,1,
10,"A character on this show is constantly reminded of the 146 other things that can be done when a metaphorical gun is put to your head. The season one finale of this show concerns the murder of Clifford Danner’s girlfriend, for which he was wrongfully imprisoned. An American actress portrayed (*) Rachel Zane on this show for seven seasons until her marriage to Prince Harry. On this show, a fraudulent Harvard graduate is among the associates managed by Louis Litt. For 10 points, Mike Ross and Harvey Specter are lawyers on what legal drama?",Suits,2,
11,"This artist was portrayed by David Elias Callaham in the 2021 parody film America: The Motion Picture. They were heavily inspired by garden villas and eventually designed a museum near the location of said villas. This architect put his degree from the Harvard University Graduate School of Design into the construction of the (*) John F. Kennedy Presidential Library and Museum in Boston. Sketches made by this artist can be found in the very building they are meant to outline. Glass pyramids, big or small, are a central theme in his work. For 10 points, name this Chinese-American architect who died at 102 and designed the Rock and Roll Hall of Fame, the Louvre Pyramid, and the East Building of the National Gallery of Art.",IM Pei;I.M. Pei;Pei;Ieoh Ming Pei,3,
12,"One of these items from Uglich was reportedly exiled for its involvement in the riot about the death of Tsarevich Dmitry. Some of these items from Danilov were returned in 2008 from Harvard’s Lowell House. One of these items called “Tsar” created by the Motorin family was broken in a 1737 fire. These items are necessary to perform the trezvon, perebor, perezvon, and blagovest. The (*) clappers of these items are generally operated manually in Russia, but freely elsewhere. A building built to hold these items is the tallest part of the Kremlin. These items, which may be arranged in a carillon, are used to announce funerals and indicate the beginnings of church services. For 10 points, name these large percussion instruments often rung during Eastern Orthodox services.",bell;bells;kolokol,1,
13,"In this play, Willie proclaims that he was accepted at Harvard with the same cordiality that Longfellow would have shown to a black woman dancing on Brittle Street. Two characters in this play joke about how they could’ve killed each other in the Boer War. One character remarks “’tis cool beneath thy willow trees” after stating that “the days grow hot, O Babylon.” A character in this play walks outside after (*) twenty years but comes back indoors after supposedly dodging an automobile. Guilt-ridden for turning in his mother who led “the Movement,” Don Parritt throws himself off the fire escape at the end of this play. In this play, Hickey admonishes other people about following “pipe dreams” before admitting to killing his wife. For 10 points, name this play about people residing in Harry Hope’s saloon, a work by Eugene O’Neill.",The Iceman Cometh;Iceman Cometh,3,
14,"Founded through a 1970 merger of East and South Houses, this residence comprises six brick halls originally built as dormitories for Radcliffe College students. Its residential quadrangle was part of the first integration of male Harvard College students into Radcliffe housing as part of a co‑residential initiative, and its communal green space distinguishes it from Houses closer to the Charles River. (*) This House was originally called “South House” until being renamed for two significant benefactors of Harvard and Radcliffe. It contains a namesake cafe, where students can enjoy treats and beverages made by their peers from 8PM to 1AM. A housing day tradition, members of this house chant to incoming residents ""you just won the lottery"" after spelling the residential community's five-letter name. For 10 points, name this Harvard College ""Quad"" House whose mascot is a fish.",Cabot House; Cabot;Best House,1,Quad; The Quad
15,"This residence incorporates former “Gold Coast” private dormitories such as Claverly and Westmorly, structures that predate the House system and were originally built with private baths, steam heat, and elaborate woodwork. It includes a building originally constructed in 1760 for an Anglican clergyman. That building, Apthorp House, is now the official residence for Faculty Deans of this house. Its linked common spaces feature a domed, tiled entrance known as the “Gold Room.” (*) Franklin D. Roosevelt’s 1900–1904 Harvard living quarters at this residence were restored as the only Presidential memorial at Harvard. For 10 points, name this ""most historic"" Harvard undergraduate house represented by the acorn.",Adams House;Adams;Best House,1,
16,"Occupying a triangular site along Memorial Drive by the Charles River, this residence was part of Harvard’s original Harkness‑funded House building plan. Its ornate Baroque‑inspired stonework, gated entrance, and traditional dining hall draw comparisons to English collegiate architecture. (*) Known for its dark wood paneling, this house's dining hall is the only upperclassman servery that stays open after 7:30 in the evening. This house, named after Harvard's first president, is a popular cover image on admissions materials advertising Harvard College. For 10 points, name this River House known for its moose mascot.",Dunster House;Dunster;Best House,1,
